Logging Start for Participant: 11, Environment: Environment 1, Strategy: Strategy 3 
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.09, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.17, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.17, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.18, 0.70), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (0.00, 0.00), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (-0.03, 0.06), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (-0.05, 0.13), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (-0.07, 0.20), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (-0.11, 0.40), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (-0.17, 0.63), Right Stick: (-0.11, 0.52), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:57, Left Stick: (-0.17, 0.82), Right Stick: (-0.11, 0.68), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.17, 0.98), Right Stick: (-0.19, 0.98), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.17, 0.99), Right Stick: (-0.19, 0.98), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.17, 0.99), Right Stick: (-0.19, 0.98), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.10, 0.99), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.10, 0.99), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.11, 0.99), Right Stick: (-0.12, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.11, 0.99), Right Stick: (-0.05, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.04, 1.00), Right Stick: (0.13, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.04, 1.00), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.04, 0.86), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.03, 0.62), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.03, 0.49), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.06, 0.44), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.06, 0.44), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.08, 0.44), Right Stick: (0.31, 0.95), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.08, 0.44), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.08, 0.44), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.08, 0.39), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.03, 0.07), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.27, 0.96), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.00, 0.00), Right Stick: (0.22, 0.98), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.01, 0.09), Right Stick: (0.11, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.01, 0.09), Right Stick: (0.11, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.01, 0.09), Right Stick: (-0.05, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.01, 0.09), Right Stick: (-0.08, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.02, 0.13), Right Stick: (-0.11, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (-0.02, 0.13), Right Stick: (-0.11, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.05, 0.62), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.10, 0.77), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.15, 0.91), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.14, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.14, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:56, Left Stick: (0.17, 0.99), Right Stick: (-0.14, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
